ds,yhat,yhat_lower,yhat_upper
2025-09-29,66.73191938882023,52.508870368728594,80.38907744813169
2025-09-30,66.82168761004817,52.75507823897495,80.569877598883
2025-10-01,66.80115571566843,52.613567998995336,79.70250160860384
2025-10-02,66.97651924777657,54.03992709801254,79.79391263168482
2025-10-03,67.036072977081,52.53190507295649,80.44225401371071
2025-10-06,67.13808850561684,53.83558858138274,80.73720492378084
2025-10-07,67.2129410277599,54.269864129770966,80.09952537744378
2025-10-08,67.16529107674398,53.71638122904384,80.66983589932033
2025-10-09,67.30200673616311,53.70722390391963,80.77610063521418
2025-10-10,67.31231029212032,53.883604041512186,81.1544860992657
2025-10-13,67.21539443685003,54.73145140153314,82.16211624314413
2025-10-14,67.21180820505137,52.987719896344835,80.28407928649487
2025-10-15,67.0823681835421,54.25458608057069,80.44412738925807
2025-10-16,67.13562565431293,53.31910014434635,79.88347769800043
2025-10-17,67.06246139006623,53.630638220599174,79.98464026477957
2025-10-20,66.73043825216814,53.146173297435354,80.21276927048292
2025-10-21,66.65803571595728,53.190456910556144,79.96455479525002
2025-10-22,66.46634594195422,53.08177047578466,80.7381801606602
2025-10-23,66.46468489852354,52.5667871500087,80.96326845225718
2025-10-24,66.3444718611295,52.099551044500146,78.89528709126047
2025-10-27,65.92044360608107,52.08890068028401,79.33878150171348
2025-10-28,65.83327679271866,52.08974329671462,79.09992965046605
2025-10-29,65.63402442753761,52.44704989335078,79.27146238017157
2025-10-30,65.63128760949128,52.73049976467688,78.96684271981854
2025-10-31,65.51563093433502,51.36032335141775,79.77948307621597
2025-11-03,65.12907565683906,52.19198357512372,79.3440395755857
2025-11-04,65.05875654247329,50.79631340338033,78.63048836739054
2025-11-05,64.87673444074728,51.35268386250483,78.84604086668692
2025-11-06,64.89059645686056,50.873852416910346,77.62245639772465
2025-11-07,64.78997653969007,50.68165319201572,77.5684688385761
2025-11-10,64.43160100955268,49.78611394936565,78.44158107638833
2025-11-11,64.36322136154381,50.25354124728823,77.67288808459767
2025-11-12,64.17890225502799,50.837683601277796,76.93208471120067
2025-11-13,64.18617305361252,49.676300628544624,77.46162325736444
2025-11-14,64.07477314061019,50.053774159516706,77.97667126866854
2025-11-17,63.66223291798019,50.78027814036412,77.18112644399304
2025-11-18,63.57027569546879,49.34986094792064,78.06724272691879
2025-11-19,63.36075273315223,49.817535028870495,76.12752924088863
2025-11-20,63.34198370042317,49.79949524885662,77.4164062660018
2025-11-21,63.204537769713866,49.443191141203776,76.26570410386879
2025-11-24,62.7222041505635,49.70744204781016,75.63692543063767
2025-11-25,62.61242495207137,49.33393261586626,76.20104617341019
2025-11-26,62.388992883554906,49.4308632860937,75.06449083050622
2025-11-28,62.21897998493342,48.047112323794366,76.49917705933468
2025-12-01,61.756801379151604,47.67346236745464,76.14677630157752
2025-12-02,61.66539220279473,48.22695708171412,75.13569614555588
2025-12-03,61.46614421716237,48.503220438584485,74.43307239314352
2025-12-04,61.46780865228221,47.751250836764655,75.08741501179284
2025-12-05,61.3611958283259,47.588835117385266,74.25093592804389
2025-12-08,61.03340743050276,48.115665093196206,74.54636497205925
2025-12-09,60.994860654608345,47.77332676780647,75.6168127373794
2025-12-10,60.85166819556641,47.30882713697688,73.3508647274864
2025-12-11,60.91205288075717,47.16969811506642,74.90201758072116
2025-12-12,60.866297760291054,46.8800462247134,74.87795321672091
2025-12-15,60.72885958739435,46.64013997173397,74.96194421829169
2025-12-16,60.754798428907904,46.62779498006022,73.99575699155285
2025-12-17,60.67590893486309,47.6061536723158,74.39325548283944
2025-12-18,60.80004336696519,46.57539867086964,74.92957267914913
2025-12-19,60.81714538470276,47.396351430869096,73.96578994847599
2025-12-22,60.8599076458093,48.004349186632844,75.73619940915414
2025-12-23,60.942203506414906,46.48854872425502,74.5983648267258
2025-12-24,60.91737607229458,47.87873975492169,74.53822323416537
2025-12-26,61.15877732290474,47.029264751219216,75.70134711205856
2025-12-29,61.32752627159071,46.189302925163304,74.95498953990749
2025-12-30,61.44407086225522,48.29853075452055,75.92247301056719
2025-12-31,61.44904271358326,46.77415320873969,75.82925777679549
2026-01-02,61.73526491181802,46.98311256837038,76.10438473256059
2026-01-05,61.92924673195735,48.55003312436267,75.86067425230527
2026-01-06,62.0418779017613,47.32048235540677,76.04728370192242
2026-01-07,62.036466386929064,48.092555626362476,76.498372739845
2026-01-08,62.22017531055026,48.53446180726055,75.41483593496696
2026-01-09,62.28235289027119,47.97106861151131,76.41282193112339
2026-01-12,62.36922353342731,48.30107086916607,75.45521281698645
2026-01-13,62.435236352340056,47.795395552743244,75.18306215168218
2026-01-14,62.37878407901937,48.74348273817421,75.80885816214638
2026-01-15,62.50786142014196,48.175058515317076,76.21840540996617
2026-01-16,62.51278167315323,48.02313188644815,76.70546148460355
2026-01-20,62.43362128885045,48.111899525344526,77.67335051220013
2026-01-21,62.32492704740619,47.8313207295379,75.90958027119146
2026-01-22,62.406821721321315,47.31266079586567,77.0383691111688
2026-01-23,62.37098128034241,48.61873887037176,75.94196328402344
2026-01-26,62.2104668280001,47.957828250938476,76.44180185966317
2026-01-27,62.21737117534305,47.15428782053401,76.76050597808526
2026-01-28,62.11710217958718,47.245979752587786,75.16967191381991
2026-01-29,62.21953042403271,47.72123514076685,77.0373227211372
2026-01-30,62.21656900200699,47.01692880914362,76.35845747434291
2026-02-02,62.22703359343932,47.80787688006913,78.31443599749
2026-02-03,62.31303717171634,48.43706546297294,77.537923500863
2026-02-04,62.30120104511507,47.83121846412551,76.86952484977017
2026-02-05,62.49995476187101,49.068457208482364,77.51964722227453
2026-02-06,62.59952436759014,48.478588424622565,76.80486770980447
2026-02-09,62.93490003928493,48.16456674542997,78.6340942238348
2026-02-10,63.127598645874016,48.52897892354988,78.05944417734715
2026-02-11,63.21775086412789,48.99186961883766,76.37134606590905
2026-02-12,63.511424331679564,48.81608659071858,77.61980952776412
2026-02-13,63.696544844814,50.190456734403,78.31767831825827
2026-02-17,64.43230895148464,48.587277884733034,78.54301141630621
2026-02-18,64.5325518349903,50.53636125167112,78.85364728374066
2026-02-19,64.81735151599534,50.02965404232165,80.20747354137835
2026-02-20,64.974142178335,50.18071484537224,80.06172390033451
2026-02-23,65.2883744893293,49.82202111212008,79.67984545795618
2026-02-24,65.40622408043161,50.4701945712272,80.03889203628944
2026-02-25,65.38754229837062,50.32103804558367,79.49941923086166
2026-02-26,65.53939702691385,49.73380877614744,79.55977746679802
2026-02-27,65.55141317621029,50.56458173331327,80.51973844479038
2026-03-02,65.38614376999004,51.57043432697826,80.33634771298811
2026-03-03,65.33861567208348,51.19904879606725,81.07502575251537
2026-03-04,65.15678632243139,49.15936988279414,82.34941458351868
2026-03-05,65.15073444198613,50.72128942035169,81.2165991925755
2026-03-06,65.01300888749465,49.827590172991684,81.63354584636915
2026-03-09,64.47409042770906,49.31353743047463,81.05126958356507
2026-03-10,64.33476928333312,48.2118610829749,80.8486953759419
2026-03-11,64.08047905876177,49.070289725274634,80.25723488008643
2026-03-12,64.02248673456,49.27044966447007,79.08861056720008
2026-03-13,63.854098497929954,47.904416598325064,80.04656728822982
2026-03-16,63.351692674741045,47.95077173025344,78.63393676921503
2026-03-17,63.265413974441195,48.393010656645885,77.96260921230466
2026-03-18,63.08255298892826,48.53247108399257,79.73973980908892
